"Jumlah Hari Hujan (mm2) Menurut Kecamatan, Stasiun Pengukur, dan Bulan, 2023",,,,,,,,,,,,,,,,
"The Rainfall days  By Subdistrict, Gauging Stations and Months, 2023",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kecamatan,,,,Stasiun Pengukur,Jan.,Feb.,Mar.,Apr.,Mei,Jun.,Jul.,Agsts.,Sept.,Okt.,Nop.,Des.
Subdistrict,,,,Gauging Stations,,,,,,,,,,,,
1,Kencong,,,Kencong,9,15,9,9,4,3,6,0,0,0,2,8
,,,,Kencong,9,15,9,9,4,3,6,0,0,0,2,8
,,,,Wonorejo,13,16,9,12,3,6,7,0,1,0,4,7
2,Gumukmas,,,Gumukmas (BT),13,17,9,9,4,3,6,0,1,0,1,7
,,,,Gumukmas (KT),12,15,8,10,3,3,7,0,0,0,1,6
,,,,Menampu,11,18,6,15,4,6,7,0,0,0,2,9
,,,,Bedodo,8,16,9,14,1,5,8,0,0,0,2,6
,,,,Bagorejo,6,9,4,5,1,4,3,0,1,0,1,4
3,Puger,,,Puger,12,13,9,11,1,3,5,0,1,1,3,7
,,,,Grenden,7,9,5,9,3,3,4,0,1,1,2,6
,,,,Jambearum,12,13,5,7,2,3,5,0,0,0,2,4
4,Wuluhan,,,Tamansari,16,18,11,15,5,3,7,0,0,0,3,7
,,,,Glundengan,13,16,10,15,3,3,6,0,0,0,3,6
,,,,Lohjejer,20,18,12,16,4,5,6,0,1,1,4,8
,,,,Ampel,21,18,12,17,5,5,7,0,1,2,4,8
,,,,Tanjungrejo,15,17,11,18,5,3,8,0,0,2,6,6
,,,,Kesilir,16,18,11,18,5,3,8,0,0,2,5,6
5,Ambulu,,,Sabrang DM 4,16,18,9,17,6,5,8,0,0,1,3,7
,,,,Sabrang SB 1,13,12,4,8,5,5,7,0,0,0,2,1
,,,,Sumberejo,11,13,5,8,3,3,7,0,0,0,1,4
,,,,Karang Anyar,15,28,13,15,4,4,9,1,0,1,5,9
6,Tempurejo,,,Tempurejo,12,28,13,15,7,3,6,0,0,1,2,12
,,,,Sanenrejo,12,28,10,11,7,1,5,0,0,0,4,9
7,Silo,,,Sumberjati,16,28,21,19,10,4,4,0,0,2,11,13
,,,,Silo,14,28,25,22,9,4,7,0,2,3,14,17
8,Mayang,,,Seputih,12,28,15,11,6,4,6,1,0,6,8,13
9,Mumbulsari,,,Karang Kedawung,12,28,12,14,6,4,3,0,2,1,10,14
10,Jenggawah,,,Kemuningsari,17,28,13,14,7,5,6,0,1,2,8,11
,,,,Jenggawah,11,28,8,13,3,6,4,0,0,1,6,10
,,,,Jatimulyo,13,28,11,13,8,2,6,1,2,2,8,9
,,,,Dam Talang,20,28,12,14,8,4,0,0,1,2,9,10
11,Ajung,,,Renes (Ajung),16,28,12,12,7,5,5,0,0,2,11,12
12,Rambipuji,,,Rambipuji,9,17,14,13,8,4,5,0,0,2,7,9
,,,,Dam Makam,10,17,13,13,8,3,5,0,0,2,7,8
,,,,Curah Malang,15,19,15,10,6,4,4,0,0,1,4,8
,,,,Rawatamtu,16,20,17,11,9,6,3,0,1,2,6,10
13,Balung,,,Balung,13,14,9,12,3,3,7,0,0,0,3,5
,,,,Karangduren,15,15,11,12,3,4,8,0,0,0,2,8
,,,,Gumelar Timur,17,20,17,16,7,4,5,0,0,1,5,8
14,Umbulsari,,,Paleran,14,18,15,14,6,7,5,0,1,1,5,8
15,Semboro,,,Semboro,13,16,10,12,5,6,8,0,1,2,5,11
,,,,Pondokjoyo,19,24,17,17,10,7,11,0,1,3,13,13
16,Jombang,,,Pladingan,9,14,8,8,5,4,8,0,0,1,3,8
,,,,Pondokwaluh,9,13,7,6,5,3,7,0,1,0,1,6
,,,,Wringin Agung,13,17,15,15,9,4,8,0,1,2,7,11
17,Sumberbaru,,,Watu urip,20,24,18,18,11,12,13,0,2,8,19,17
18,Tanggul,,,Tanggul,12,17,14,17,11,6,9,0,2,2,8,12
,,,,Darungan,15,19,16,16,7,8,9,0,3,1,12,12
19,Bangsalsari,,,Dam Pecoro,11,18,13,15,8,4,5,0,0,2,7,9
,,,,Sukorejo,15,19,8,12,5,6,5,0,0,1,6,8
,,,,Dam Langkap,14,15,16,16,6,6,6,0,0,2,7,9
,,,,Dam Kijingan,14,12,12,14,5,8,7,0,0,2,12,11
,,,,Dam Tugusari,15,16,17,14,6,8,8,1,0,2,10,11
20,Panti,,,Dam Klatakan,20,21,17,17,9,5,12,0,1,2,9,11
,,,,Dam Kr. Anom,10,17,16,12,4,5,6,0,0,1,10,11
,,,,Dam Pono,9,17,16,12,4,5,6,0,0,1,10,11
21,Sukorambi,,,Dam Manggis,17,22,18,15,7,6,6,0,1,4,15,8
22,Arjasa,,,Kopang,17,28,13,13,6,4,5,0,0,5,11,9
,,,,Dam Arjasa,20,28,17,17,7,1,5,0,2,4,14,13
23,Pakusari,,,Kottok,20,28,16,17,5,2,4,0,5,7,17,15
,,,,Pakusari,19,28,22,18,7,5,6,1,1,6,11,14
24,Kalisat,,,Jatian,14,28,11,16,2,2,3,0,0,4,6,7
,,,,Ajung,19,28,19,17,5,2,6,1,0,9,14,14
25,Ledokombo,,,Ledokombo,14,28,21,11,4,3,7,1,2,3,7,12
,,,,Suren,12,28,21,18,6,3,7,1,0,5,14,14
26,Sumberjambe,,,Sumberjambe,15,9,18,15,3,1,4,1,0,5,13,11
,,,,Cumedak,13,28,21,15,2,1,4,2,1,3,14,12
27,Sukowono,,,Tamanan,KABUPATEN BONDOWOSO,,,,,,,,,,,
,,,,Sukowono,17,28,18,15,2,1,3,0,0,5,11,9
,,,,Sbr. Kalong,15,28,15,10,2,1,3,0,0,9,14,9
,,,,Sukorejo,16,28,16,9,1,1,1,0,0,6,14,8
28,Jelbuk,,,Tegalbatu,20,28,14,11,6,2,7,0,0,7,12,13
29,Kaliwates,,,Dam Semangir,14,16,9,14,5,5,6,1,0,4,9,10
30,Sumbersari,,,Wirolegi,12,28,10,7,5,2,3,0,1,1,11,7
,,,,Jember,19,28,19,14,9,5,7,0,3,4,10,9
31,Patrang,,,Bintoro,14,28,15,11,8,5,7,0,1,4,13,12
,,,,Dam Sembah,17,28,18,15,7,4,9,0,1,6,12,12