"Banyaknya Desa dan Jatah Beras Program Raskin (Kg) Menurut Kecamatan, 2023",,,,,
"The Number of Village, PKS-BBM Family, Rice Allocation Raskin(Kg)  By Subdistrict, 2023",,,,,
,,,,,
No,Kecamatan,Jumlah Desa,Jatah Beras Raskin (Kg), RumahTangga Miskin (RTS-PM),
Num,Subdristrict,Number of Village,Rice Allocation Raskin (Kg),Family Destitute,
1,Kencong,7,6283,62830,
2,Gumuk Mas,7,7193,71930,
3,Puger,6,5272,52720,
4,Wuluhan,8,5401,54010,
5,Ambulu,11,11777,117770,
6,Tempurejo,8,5581,55810,
7,Silo,6,5217,52170,
8,Mayang,8,6291,62910,
9,Mumbulsari,6,3146,31460,
10,Jenggawah,12,10353,103530,
11,Ajung,7,4993,49930,
12,Rambipuji,5,4751,47510,
13,Balung,10,11715,117150,
14,Umbulsari,7,6466,64660,
15,Semboro,7,8601,86010,
16,Jombang,7,5607,56070,
17,Sumberbaru,7,7055,70550,
18,Tanggul,8,6594,65940,
19,Bangsalsari,12,6059,60590,
20,Panti,8,4849,48490,
21,Sukorambi,6,4094,40940,
22,Arjasa,9,9951,99510,
23,Pakusari,5,3533,35330,
24,Kalisat,12,9873,98730,
25,Ledokombo,10,13454,134540,
26,Sumberjambe,9,9382,93820,
27,Sukowono,7,4393,43930,
28,Jelbuk,8,7772,77720,
29,Kaliwates,8,9030,90300,
30,Sumbersari,10,6021,60210,
31,Patrang,7,6353,63530,
Tahun/Year 2023,,248,217060,2170600,
Sumber/Source: Bulog Divisi Regional XI Kabupaten Jember/ Logistic Bereau Regional Division XI Regency of Jember,,,,,